"Line Payment","Line Medio de Pago"
"Enable","Habilitar"
"Disable","Deshabilitar"
"Title","Titulo"
"Mode","Modo"
"Sandbox Api Key","Sandbox Api Key"
"Sandbox URL","Sandbox URL"
"Production Api Key","Producción Api Key"
"Production URL","Producción URL"
"Developer Debug","Log Desarrolladores"
"Available Credit Cards","Tarjetas disponibles"
"New Order Status","Estado de Nueva Orden"
"Display Installments Price","Mostrar precio por Cuota"
"Sandbox","Test"
"Production","Producción"
"Document Types","Tipos de Documentos"
"Document Number","Número de Documento"
"Display, within the Installments dropdown, the installment price amount of each promotion","Mostrar el precio de cada Cuota, en cada promoción, dentro del drodopwn de Cuotas"
"Status in which the Order will be set, once the payment is processed.","Estado que se le asignara a la Orden, posterior procesamiento del pago."
"N/A","N/A"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Response is not a valid type.","Response is not a valid type."
"TLS 1.2 by default. Do not modify unless you know what you're doing.","TLS 1.2 by default. Do not modify unless you know what you're doing."
"When enabled, a custom log will be created with relevant information for debugging. Please check: /var/log/line-payment.log","Al activar, se logueara informacion de desarrollo dentro de los logs de Adobe Commerce. Por favor revisar: /var/log/line-payment.log"
"Business Number","Número de Comercio"
"Terminal System","Terminal Sistema"
"Api Version","Version de Api"
"TLS 1.2 by default. Do not modify unless you know what you're doing.","TLS 1.2 por default. No modificar a menos que sepa lo que esta haciendo."
"Terminal Operation identifier.","Identificación de la terminal de la operación."
"Api SSL Enabled","Habilitar SSL en API"
"Api SSL Version","Version SSL"
"Enable SSL communication with Gateway Api","Habilitar SSL para la comuncación con el medio de pago."
"Sort Order","Orden en el Listado de Pagos"
"No api key provided","No api key provided"
"No base url provided","No base url provided"
"Credit Card Type","Tarjeta de Crédito"
"Credit Card Number","Número Tarjeta de Crédito"
"Installments","Cuotas"
"List of comma-separated installment values, ex: 1,2,3.","Valores separados por coma de cada cuota disponible, ej: 1,2,3."
"Installments Plan","Plan de Cuotas"
"Status","Estado"
"Status Description","Descripción"
"Credit Card Information","Información de la Tarjeta de Crédito"
"Holder Name","Nombre y Apellido"
"Expiration Date","Fecha de Expiración"
"Card Verification Number","Código de Seguridad"
"Credit Card Exp Month","Tarjeta Mes Venc."
"Credit Card Exp Year","Tarjeta Año Venc."
"Select Installments","Seleccione las cuotas"
"Month","Mes"
"Year","Año"
"Type","Tipo"
"Credit","Crédito"
"Debit","Débito"
"Document Type and Number","Tipo y Número de Documento"
"Card Type","Tipo de tarjeta"
"Authorization Code","Código de Autorización"
"Card not informed","Tipo de Tarjeta no informada"
"code %1", "(código %1)"
"Required information from Gateway could not be loaded","No se pudieron cargar las Promociones. Por favor, revise la configuracion del Medio de Pago."
"No Promotions available, review your configuration or contact support","No hay Promociones disponibles. Revise la configuracion o contactese con soporte tecnico"
"No promotions available for your card","No se encontraron Promociones disponibles para su tarjeta"

"Authorization has been denied for this request.","La autorización del request es inválida"
"Promotions Marketplace","Promociones Marketplace"
"Marketplace ID of your Promotion's dashboard","Codigo del marketplace desde el cual consumir las promociones"
"Promotions Marketplace Id","Promociones Marketplace Id"
"Account Number for the Promotions endpoint","Numero de cuenta del Dashboard de Promociones"
"Order Placed by Line Payment","Order generada a traves de Line Payment"

"Promotions Sandbox Url","Promociones Url Test"
"Promotions Production Url","Promociones Url Producción"
"Promotion's Sandbox Url (inherits from the general Mode)","Url del entorno de Test de Promociones (hereda del Modo general)"
"Promotion's Production Url (inherits from the general Mode)","Url del entorno de Producción de Promociones (hereda del Modo general)"

"No emitters were received from external service", "No se recibieron Emisores desde el servicio externo"
"Emitters cannot be retrieved from external service","Los Emisores no pueden ser recuperados del servicio externo en este momento"
"Unable to detect your card based on current Emitters","No es posible detectar el Emisor de su tarjeta."
"Cannot reach backend to retrieve promotions, please contact your administrator.","No es posible recuperar las promociones, por favor contactese con un administador"
"Forbidden request","Peticion prohibida"
"Credit Card not recognized, please try with another one","Tarjeta no detectada, por favor intente en unos minutos o utilice otra tarjeta"
"Installments Filter Enabled","Filtro de Cuotas"
"Installments Filter Configuration","Configuración del Filtro"
"Whether to filter or not, by a minimum Order Grand total amount, the list of installments that comes from the Gateway.","Filtro de Cuotas que envia el Gateway para el BIN de la Tarjeta del Cliente, dependiendo del total de la Orden"
"Min Total","Total Min"
"Installments to show","Cuotas a Mostrar"
"Action","Accion"
"Add New","Agregar"
"First column contains the minimum Order amount for the installments list to be available. Installments is a list of coma-separated values. Whatever the Gateway returns, only the list of Installments specified will be displayed.","La <i>Total Min</i>, especifica el de la Orden para aplicar el listado de la columna Cuotas. El listado de Cuotas a mostrar es una lista de valores separados por coma, ej: 1,2,3,6,9,12. El primer match, de menor a mayor, será el utilizado. Solo se mostraran las cuotas de la columna <i>Cuotas a Mostrar</i> que existan en la respuesta del Gateway."
"Please enter between 15 and 20 digits.", "Por favor ingrese entre 15 y 20 dígitos."
"Installment surcharge","Recargo por cuotas"
"Installment surcharge %1 payments %2%","Recargo %1 cuotas %2%"
"Card promotions are not available right now. Please try again in a few minutes.","Las promociones no están disponibles en este momento. Por favor, intente nuevamente en unos minutos."
"We could not reach the payment service. Please try again in a few minutes.","No pudimos conectarnos con el medio de pago. Por favor, intente nuevamente en unos minutos."
"The card number is not valid.","El número de tarjeta no es válido."
"The selected installment plan is no longer available. Please choose it again.","El plan de cuotas seleccionado ya no está disponible. Por favor, selecciónelo nuevamente."
"We can't process this payment right now. Please re-enter your card details and try again.","No podemos procesar este pago en este momento. Por favor, ingrese nuevamente los datos de su tarjeta e intente otra vez."
"We can't process this payment right now. Please try a different payment method.","No podemos procesar este pago en este momento. Por favor, utilice otro medio de pago."
"We are unable to process this payment right now. Please try a different payment method or contact us.","No podemos procesar este pago en este momento. Por favor, utilice otro medio de pago o contáctenos."
"The payment method is not configured correctly.","El medio de pago no está configurado correctamente."
"No promotions found","No se encontraron promociones"
"No Promotions available","No hay promociones disponibles"
"Mock (offline fixtures)","Simulado (respuestas locales)"
"-- Please Select --","-- Seleccione --"
